                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.1113,                 0.9226,                 1.0826,                0.74952,                0.77431,                0.81145,                0.67264,                0.99383,                0.66271,                 1.0866,               0.007822,               0.007822,               0.007822
                     46,                 1.1102,                 0.9206,                 1.0803,                0.74493,                0.78177,                0.80709,                0.66571,                0.99334,                0.66587,                 1.0872,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.1095,                0.91821,                 1.0822,                0.75238,                0.76444,                0.80636,                0.66138,                 0.9934,                0.66561,                 1.0877,               0.007723,               0.007723,               0.007723
                     48,                 1.1064,                0.91625,                 1.0799,                0.72496,                0.79922,                0.81506,                0.67081,                0.99236,                0.65698,                 1.0854,              0.0076735,              0.0076735,              0.0076735
                     49,                  1.109,                0.91239,                  1.078,                0.72879,                0.77287,                0.80007,                0.65815,                0.99274,                0.66465,                 1.0853,               0.007624,               0.007624,               0.007624
                     50,                 1.1081,                0.91114,                 1.0821,                0.76174,                0.77205,                0.81203,                0.66876,                 0.9903,                 0.6594,                 1.0849,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.1057,                0.91098,                 1.0802,                0.74573,                0.79164,                0.81693,                 0.6758,                0.99125,                0.65583,                 1.0852,               0.007525,               0.007525,               0.007525
                     52,                 1.1045,                0.91102,                 1.0806,                0.73945,                  0.782,                0.80488,                0.66425,                0.99118,                0.66021,                 1.0852,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.1029,                0.91048,                 1.0782,                0.72618,                0.78378,                  0.808,                0.66695,                0.98993,                0.65762,                 1.0837,               0.007426,               0.007426,               0.007426
                     54,                 1.1018,                 0.9026,                 1.0766,                0.72148,                0.78815,                0.80582,                 0.6635,                0.98925,                0.65319,                 1.0824,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1027,                0.91355,                   1.08,                0.74294,                0.76442,                0.80645,                0.66641,                0.98975,                0.65318,                 1.0814,               0.007327,               0.007327,               0.007327
                     56,                 1.1012,                0.90645,                 1.0777,                0.76237,                0.76233,                0.81327,                0.67378,                0.98892,                0.64559,                 1.0803,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.1005,                0.90802,                 1.0765,                 0.7088,                0.81157,                0.80474,                0.66311,                 0.9895,                0.64964,                 1.0812,               0.007228,               0.007228,               0.007228
                     58,                 1.1014,                0.90554,                 1.0771,                0.71459,                0.80828,                0.80998,                0.66793,                0.98906,                 0.6512,                 1.0806,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.0995,                 0.9091,                 1.0756,                0.73322,                0.80557,                0.81032,                 0.6687,                0.98797,                 0.6506,                 1.0801,               0.007129,               0.007129,               0.007129
                     60,                  1.097,                0.90142,                 1.0747,                0.73686,                0.80528,                0.81214,                0.66823,                0.98806,                0.64918,                 1.0794,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1009,                 0.9018,                 1.0756,                0.72869,                0.82856,                 0.8197,                 0.6762,                 0.9866,                0.64567,                 1.0781,                0.00703,                0.00703,                0.00703
                     62,                 1.0958,                0.90206,                 1.0761,                0.73411,                0.82295,                 0.8228,                0.67684,                0.98644,                0.64643,                 1.0781,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.0982,                0.90333,                 1.0752,                0.72038,                0.82903,                0.82163,                 0.6762,                0.98672,                0.64814,                 1.0784,               0.006931,               0.006931,               0.006931
                     64,                 1.0905,                 0.8942,                 1.0725,                0.73382,                0.81054,                0.82243,                0.67691,                0.98621,                0.64737,                 1.0781,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.0956,                 0.8933,                 1.0739,                0.72973,                0.81067,                   0.82,                0.67549,                0.98574,                0.64853,                  1.078,               0.006832,               0.006832,               0.006832
                     66,                  1.093,                 0.8938,                 1.0726,                0.73629,                0.80577,                0.81978,                0.67602,                0.98579,                0.64811,                 1.0781,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.0918,                0.89238,                 1.0719,                0.73864,                0.80437,                0.82018,                0.67705,                0.98563,                0.64676,                 1.0781,               0.006733,               0.006733,               0.006733
                     68,                 1.0937,                0.88914,                 1.0695,                0.72325,                0.81468,                0.81941,                0.67643,                0.98579,                0.64546,                  1.078,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0903,                0.89054,                 1.0712,                0.74973,                0.80305,                0.82121,                 0.6798,                0.98579,                0.64493,                 1.0779,               0.006634,               0.006634,               0.006634
                     70,                 1.0883,                0.88602,                 1.0699,                0.75579,                0.80496,                0.82215,                 0.6816,                0.98525,                0.64287,                  1.078,              0.0065845,              0.0065845,              0.0065845
                     71,                   1.09,                0.88446,                   1.07,                 0.7539,                0.79696,                0.82168,                0.67998,                 0.9853,                0.64274,                 1.0783,               0.006535,               0.006535,               0.006535
                     72,                 1.0865,                0.88884,                 1.0686,                0.75458,                0.80863,                0.82347,                0.68144,                0.98519,                 0.6418,                  1.078,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0885,                0.88901,                 1.0697,                0.75592,                0.81595,                0.82788,                0.68742,                 0.9845,                0.63961,                 1.0775,               0.006436,               0.006436,               0.006436
                     74,                 1.0877,                0.88521,                 1.0698,                0.75547,                0.81167,                0.82945,                0.68928,                0.98439,                0.63824,                 1.0772,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.0832,                0.87991,                 1.0657,                0.75539,                0.81088,                0.82896,                0.68787,                0.98418,                0.63705,                 1.0768,               0.006337,               0.006337,               0.006337
                     76,                 1.0819,                0.87976,                 1.0683,                0.75744,                0.81063,                0.82887,                0.68693,                0.98418,                0.63575,                 1.0768,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.0828,                0.88213,                 1.0681,                 0.7556,                0.81223,                0.82854,                0.68656,                0.98422,                0.63623,                  1.077,               0.006238,               0.006238,               0.006238
                     78,                 1.0813,                0.88253,                 1.0663,                 0.7538,                0.81275,                0.82924,                0.68689,                0.98432,                0.63626,                 1.0771,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0833,                0.88388,                 1.0678,                0.75595,                0.81302,                 0.8292,                0.68711,                0.98421,                0.63626,                  1.077,               0.006139,               0.006139,               0.006139
                     80,                 1.0866,                0.88449,                 1.0697,                0.76502,                0.80149,                0.82754,                0.68585,                0.98419,                0.63654,                 1.0771,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.0798,                0.88083,                 1.0663,                0.77034,                0.79969,                0.82769,                0.68684,                0.98399,                0.63678,                 1.0768,                0.00604,                0.00604,                0.00604
